CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),,Customer Email
67,Female,43,48,50,,roslyn12@bayer.info
68,Female,68,48,48,,jonatan47@gmail.com
69,Male,19,48,59,,betty.daugherty@collins.com
70,Female,32,48,47,,chanel.torp@hotmail.com
71,Male,70,49,55,,vwintheiser@hotmail.com
72,Female,47,49,42,,schmitt.aniyah@mcclure.com
73,Female,60,50,49,,waylon.marks@hotmail.com
74,Female,60,50,56,,macejkovic.taylor@hotmail.com
75,Male,59,54,47,,jody.schmeler@hickle.com
76,Male,26,54,54,,shania.ratke@yahoo.com
77,Female,45,54,53,,sydnie60@kihn.org
78,Male,40,54,48,,brenden97@wuckert.com
79,Female,23,54,52,,randall02@gmail.com
80,Female,49,54,42,,kmckenzie@hotmail.com
81,Male,57,54,51,,lsipes@turner.com
82,Male,38,54,55,,dkirlin@hotmail.com
83,Male,67,54,41,,erik.weimann@barton.com
84,Female,46,54,44,,qkuvalis@greenfelder.com
85,Female,21,54,57,,raynor.micheal@witting.com
86,Male,48,54,46,,awiegand@gmail.com
87,Female,55,57,58,,kiehn.opal@rempel.biz
88,Female,22,57,55,,mann.tremayne@hermiston.net
89,Female,34,58,60,,xoberbrunner@hotmail.com
90,Female,50,58,46,,ava54@gmail.com
91,Female,68,59,55,,claud.adams@yahoo.com
92,Male,18,59,41,,winona.berge@denesik.org
93,Male,48,60,49,,simonis.yvonne@funk.com
94,Female,40,60,40,,block.luigi@gmail.com
95,Female,32,60,42,,myron71@gmail.com
96,Male,24,60,52,,nicolette.kuhn@yahoo.com
97,Female,47,60,47,,kheathcote@gmail.com
98,Female,27,60,50,,adriana.kerluke@jerde.com
99,Male,48,61,42,,cecelia.padberg@runolfsson.com
100,Male,20,61,49,,lonnie.towne@purdy.org
101,Female,23,62,41,,vmraz@crooks.org
102,Female,49,62,48,,kareem.lynch@gmail.com
103,Male,67,62,59,,ondricka.garrick@mitchell.com
104,Male,26,62,55,,rhudson@treutel.org
105,Male,49,62,56,,harley.hoppe@durgan.com
106,Female,21,62,42,,wiza.flo@prosacco.org
107,Female,66,63,50,,bruen.kiel@gmail.com
108,Male,54,63,46,,garrison.padberg@anderson.biz
109,Male,68,63,43,,roger58@kemmer.com
110,Male,66,63,48,,mya.eichmann@gmail.com
111,Male,65,63,52,,alden.sipes@senger.org
112,Female,19,63,54,,bprice@considine.com
113,Female,38,64,42,,effertz.virginie@yahoo.com
114,Male,19,64,46,,joan14@quigley.biz
115,Female,18,65,48,,caleb.damore@wisoky.com
116,Female,19,65,50,,yasmeen03@jacobson.com
117,Female,63,65,43,,bogan.pascale@armstrong.com
118,Female,49,65,59,,pinkie.rowe@schmitt.com
119,Female,51,67,43,,einar08@schumm.com
120,Female,50,67,57,,fmurray@gmail.com
121,Male,27,67,56,,smith.josefina@collier.com
122,Female,38,67,40,,qstark@gmail.com
123,Female,40,69,58,,jannie65@bradtke.org
124,Male,39,69,91,,ulises.turcotte@braun.com
125,Female,23,70,29,,kulas.tatum@marvin.biz
126,Female,31,70,77,,pablo.langworth@gmail.com
127,Male,43,71,35,,mckenzie.larry@bruen.com
128,Male,40,71,95,,robb31@yahoo.com
129,Male,59,71,11,,fullrich@mohr.com
130,Male,38,71,75,,burnice.hackett@schoen.com
131,Male,47,71,9,,donnelly.kaela@bahringer.net
132,Male,39,71,75,,bert.bergstrom@hotmail.com
133,Female,25,72,34,,baumbach.armand@yahoo.com
134,Female,31,72,71,,egorczany@leannon.com
135,Male,20,73,5,,crystel.baumbach@wuckert.com
136,Female,29,73,88,,mschaefer@hotmail.com
137,Female,44,73,7,,casandra.schuster@hotmail.com
138,Male,32,73,73,,dgutmann@hotmail.com
139,Male,19,74,10,,iharris@yahoo.com
140,Female,35,74,72,,moen.tad@hotmail.com
141,Female,57,75,5,,zlangworth@hotmail.com
142,Male,32,75,93,,roman.reinger@hotmail.com
143,Female,28,76,40,,harvey.makenna@runolfsdottir.com
144,Female,32,76,87,,jimmy19@kautzer.net
145,Male,25,77,12,,edenesik@ankunding.com
146,Male,28,77,97,,alek.weber@eichmann.com
147,Male,48,77,36,,jkulas@kilback.com
148,Female,32,77,74,,laverna68@hotmail.com
149,Female,34,78,22,,kbogan@gmail.com
150,Male,34,78,90,,gregg58@hotmail.com
151,Male,43,78,17,,greyson05@sanford.info
152,Male,39,78,88,,reinger.johnson@abernathy.com
153,Female,44,78,20,,marcelle92@gmail.com
154,Female,38,78,76,,willms.monserrat@hotmail.com
155,Female,47,78,16,,anderson.ellen@yahoo.com
156,Female,27,78,89,,damaris20@kemmer.biz
157,Male,37,78,1,,gstamm@wiza.com
158,Female,30,78,78,,orowe@gmail.com
159,Male,34,78,1,,oshields@gmail.com
160,Female,30,78,73,,runte.roscoe@brekke.com
161,Female,56,79,35,,adah00@gmail.com
162,Female,29,79,83,,hickle.kristoffer@hotmail.com
163,Male,19,81,5,,hreichert@gmail.com
164,Female,31,81,93,,oparisian@hane.net
165,Male,50,85,26,,russell.crona@hotmail.com
166,Female,36,85,75,,donato05@hessel.com
167,Male,42,86,20,,wade.hettinger@hotmail.com
168,Female,33,86,95,,julian.wisoky@gmail.com
169,Female,36,87,27,,ike60@hotmail.com
170,Male,32,87,63,,armstrong.lorenzo@mcclure.com
171,Male,40,87,13,,aufderhar.ella@hotmail.com
172,Male,28,87,75,,mitchell.jannie@hotmail.com
173,Male,36,87,10,,lbruen@mayer.biz
174,Male,36,87,92,,fatima.haley@hettinger.com
175,Female,52,88,13,,gziemann@yahoo.com
176,Female,30,88,86,,judson.friesen@hackett.biz
177,Male,58,88,15,,muller.syble@gmail.com
178,Male,27,88,69,,delta.wilderman@hotmail.com
179,Male,59,93,14,,lockman.eusebio@shields.info
180,Male,35,93,90,,daisha32@yost.com
181,Female,37,97,32,,kolby.thiel@kuhn.com
182,Female,32,97,86,,karlee.hauck@nikolaus.biz
183,Male,46,98,15,,ondricka.tressie@torphy.org
184,Female,29,98,88,,ebba81@hotmail.com
185,Female,41,99,39,,bessie30@yahoo.com
186,Male,30,99,97,,torp.marjory@hotmail.com
187,Female,54,101,24,,nicolas.wuckert@gmail.com
188,Male,28,101,68,,bbeahan@yahoo.com
189,Female,41,103,17,,cierra64@yahoo.com
190,Female,36,103,85,,ogleason@hotmail.com
191,Female,34,103,23,,houston56@hotmail.com
192,Female,32,103,69,,orenner@hotmail.com
193,Male,33,113,8,,kozey.burley@aufderhar.com
194,Female,38,113,91,,laila86@yahoo.com
195,Female,47,120,16,,azulauf@dietrich.com
196,Female,35,120,79,,christina28@hotmail.com
197,Female,45,126,28,,hane.aisha@hotmail.com
198,Male,32,126,74,,easter44@hotmail.com
199,Male,32,137,18,,iklein@hotmail.com
200,Male,30,137,83,,turcotte.dayton@herman.org
